comments,likes,Target
abee chutiyaa logo akhilesh yadav bajai anjana om kashyap ultii,0,Akhilesh
honest,0,Akhilesh
lijiye aa gyi ak imaandaar,0,Akhilesh
godi media fatat kahe hohhh tuhu bjp chachi lagat hau,0,Akhilesh
anjana tumse paega,0,Akhilesh
abee sharam tumlog media walo ar girogejhhutho  aayenge akhilesh chhayenge akhilesh,0,Akhilesh
godi,0,Akhilesh
godi,0,Akhilesh
godi media,0,Akhilesh
akhilesh dalaal media wat lagadi bil bila uthi anjana billi,0,Akhilesh
jali godi media,0,Akhilesh
chup,3,Akhilesh
bs imandar,0,Akhilesh
jai radndi ksyap,1,Akhilesh
imandar patrkar,0,Akhilesh
दलाल मीडिया,0,Akhilesh
didi sasta nasha phoonk lia hai didi interview leti aap phir godigiri naya naya parwan chada gyan twitter lena kuuch no   trending,0,Akhilesh
imandar ptrakar,0,Akhilesh
bade honest imandar patrakar,0,Akhilesh
ईमानदारchaploosh,0,Akhilesh
bolna sikhe tb ankar banna maim,0,Akhilesh
jooth jisko sach bo interview jakr,0,Akhilesh
godi media isko video dikhao,0,Akhilesh
बहन डर गई इनको बीजेपी मंत्री पद मिलना चाहिए,0,Akhilesh
boltu  th pass reporter,0,Akhilesh
honest reporter,0,Akhilesh
bbc  aapka knowledge kamal,0,Akhilesh
antaratma ander band imandaar patrakar janta,0,Akhilesh
madam imaandaar  interview,0,Akhilesh
jay samajwadi,0,Akhilesh
jay samajvad,0,Akhilesh
jay samajvad,0,Akhilesh
baat ni interview btaker bhram faila hai,0,Akhilesh
video dekhna,0,Akhilesh
nishpaksh patrakaar,0,Akhilesh
honest tejasvi,0,Akhilesh
लगता ईमानदार मैडम,0,Akhilesh
imandar patrakar,0,Akhilesh
ओर ईमानदार। ।।,0,Akhilesh
godi media jindavad,0,Akhilesh
imandarpatrakar,0,Akhilesh
band jaker akhilesh yadav interview lega imandaar patrakar list aate,0,Akhilesh
speech,0,Akhilesh
imandaar lag hain,0,Akhilesh
imandaar,0,Akhilesh
power full lady,0,Akhilesh
tumko sarm aaani chahieeee aaapne bh sabd anjana didi niiii bolaaayhi godi mediaaaaaa hmmmmm,1,Akhilesh
imandar list,0,Akhilesh
aapko interview dena charbi nikal jaegi imandari,0,Akhilesh
anjana bahot imandaar patrakaar bol imaandar andhe gavaar bhaio ese patrakaar jese media valo pehchan sirf desh kaam total milakar baat sirf yhi nidar hokar sach baki bik chuke in parallel universe,0,Akhilesh
